Sr,District,Taluka,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Total RainFall,%RainFall,Rainy Days
41,,Wada,442.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.0,0.5,0.0,0.0,0.0,0.0,3.0,0.8,0.5,1.6,0.9,44.3,70.5,31.3,41.8,24.0,17.8,238.3,52.7,7
42,,Dahanu,452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.6,12.6,6.9,2.0,45.3,51.1,147.6,62.6,86.7,82.0,27.1,525.9,129.8,9
43,,Palghar,405.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,26.6,5.6,11.7,94.4,142.3,169.2,33.8,103.5,93.4,40.3,725.6,159.9,11
44,,Javhar,453.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.5,0.0,0.0,0.1,0.5,0.5,2.5,0.0,2.5,1.5,10.0,39.5,10.5,12.0,54.5,11.0,147.1,45.3,6
45,,Mokhada,324.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.5,0.0,0.0,0.3,13.6,49.6,9.3,6.3,93.9,14.5,189.4,46.7,6
46,,Talasari,405.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,2.0,0.3,5.5,22.5,136.0,21.0,38.0,27.5,5.8,262.6,57.9,7
47,,Vikramgad,453.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.5,0.5,0.0,1.8,0.2,0.0,0.0,0.8,1.5,3.5,0.0,0.0,1.5,17.8,99.8,31.5,57.3,60.5,21.3,302,295.2,7
48,Nasik,Malegaon,102.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,7.5,2.5,0.0,0.5,0.4,0.0,0.8,2.3,5.8,25.9,26,3
49,,Baglan,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,20.0,2.4,2.5,0.0,0.1,0.0,8.4,11.6,2.1,56.8,47.1,4
50,,Kalwan,120.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,2.5,0.4,0.4,0.2,1.5,0.0,3.7,4.9,0.3,18.3,16.9,3
51,,Nandgaon,108.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.6,14.2,14.2,0.0,5.2,1.4,0.0,4.0,11.2,16.4,69.4,43.8,7
52,,Surgana,158.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,1.8,0.6,0.0,5.6,1.3,13.2,14.1,2
53,,Nasik,93.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,11.4,2.1,0.0,0.3,0.8,0.0,0.0,1.3,0.1,18.1,15.8,1
