Sr,District,Taluka,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Total RainFall,%RainFall,Rainy Days
167,,Soegaon,17.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,3.3,35.3,0.7,2.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - ,45.6,170.8,3
168,,Phulambri,26.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8,0.0,11.8,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - ,34.6,266.2,2
169,Jalna,Bhokardhan,13.0,0.0, - , - , - , - , - , - , - , - , - , - , - , - ,0.5,18.6,0.0,2.3,0.0, - , - , - , - , - , - , - , - , - , - , - , - ,21.4,85.9,1
170,,Jafrabad,24.9,0.0, - , - , - , - , - , - , - , - , - , - , - , - ,0.0,20.0,0.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - , - ,20,110.5,1
171,,Jalna,18.1,0.0, - , - , - , - , - , - , - , - , - , - , - , - ,4.9,22.9,3.0,6.1,0.0, - , - , - , - , - , - , - , - , - , - , - , - ,36.9,117.5,4
172,,Ambad,31.4,0.0, - , - , - , - , - , - , - , - , - , - , - , - ,4.7,29.6,2.4,2.9,0.0, - , - , - , - , - , - , - , - , - , - , - , - ,39.6,196,3
173,,Partur,20.2,0.0, - , - , - , - , - , - , - , - , - , - , - , - ,0.0,7.2,0.0,3.6,0.0, - , - , - , - , - , - , - , - , - , - , - , - ,10.8,59.7,2
174,,Badnapur,18.1,0.0, - , - , - , - , - , - , - , - , - , - , - , - ,0.0,10.8,0.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - , - ,10.8,34.4,1
175,,Ghansangvi,31.4,0.0, - , - , - , - , - , - , - , - , - , - , - , - ,5.1,5.9,1.3,0.9,0.0, - , - , - , - , - , - , - , - , - , - , - , - ,13.2,65.3,2
176,,Mantha,20.2,0.0, - , - , - , - , - , - , - , - , - , - , - , - ,0.0,3.8,0.0,4.5,0.0, - , - , - , - , - , - , - , - , - , - , - , - ,8.3,27.1,2
177,Beed,Beed,30.6,0.0,0.0,0.0,0.0, - , - ,0.0, - ,0.0, - ,2.0,0.0, - ,0.0,3.5,4.5,1.5,0.4,0.0, - , - ,0.0, - , - , - , - , - , - , - , - ,11.9,41.9,2
178,,Patoda,28.4,-,-,-,0.0, - , - , - , - , - , - , - , - , - ,0.0,0.0,0.0,0.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - ,0,0,0
179,,Ashti,19.0,-,-,-,0.0, - , - , - , - , - , - ,7.0, - , - ,7.4,28.7,32.4,0.0,0.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - ,75.5,389.2,4
180,,Gevari,19.4,-,-,-,0.0, - , - , - , - , - , - , - , - , - ,0.0,0.5,3.2,0.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - ,3.7,23.6,1
181,,Majalgaon,15.7,-,-,-,0.0, - , - , - , - , - , - , - , - , - ,0.0,0.0,0.0,0.8,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - ,0.8,3.9,0
182,,Ambejogai,20.7,-,0.0,0.0,5.0, - , - , - , - , - , - ,6.3, - , - ,0.0,0.0,14.0,0.0,8.4,0.0, - , - , - , - , - , - , - , - , - , - , - ,33.7,162.8,4
183,,Kej,20.7,-,-,-,0.0, - , - , - , - , - , - , - , - , - ,0.0,0.0,17.9,0.0,4.6,0.0, - , - , - , - , - , - , - , - , - , - , - ,22.5,73.5,2
184,,Parali,30.6,-,-,-,0.0, - , - , - , - , - , - , - , - , - ,0.0,0.0,0.0,0.0,0.0,2.0, - , - , - , - , - , - , - , - , - , - , - ,2,9.7,0
185,,Dharur,20.7,-,-,-,0.0, - , - , - , - , - , - , - ,15.0, - ,0.0,0.0,0.0,0.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - ,15,95.5,1
186,,Vadavani,15.7,-,-,-,0.0, - , - , - , - , - , - , - , - , - ,0.0,0.0,4.5,21.5,0.0,1.5, - , - , - , - , - , - , - , - , - , - , - ,27.5,96.8,2
187,,Shirur Kasar,28.4,0.0,0.0,0.0,0.0, - , - , - , - , - , - , - , - , - ,0.0,5.1,4.3,0.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - ,9.4,46.8,2
188,Latur,Latur,20.1,-,-,-,-,-,-,-,-,-,-,11.1, - , - ,0.0, - ,27.6,0.0, - ,1.6, - , - , - , - , - , - , - , - , - , - , - ,40.3,200.5,2
189,,Ausa,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,0.0,0.0,0.0, - ,17.6,0.0, - ,0.3, - , - ,0.0, - , - , - , - , - ,0.0,0.0,0.0,37.3,190.3,2
190,,Ahmedpur,19.6,0.0, - , - , - , - , - , - , - , - , - ,4.0, - , - ,0.0, - ,3.2,0.0, - ,0.0, - , - , - , - , - , - , - , - , - , - , - ,7.2,34.8,2
191,,Nilanga,20.7,0.0, - , - , - , - , - , - , - , - , - ,12.6, - ,7.0,0.0,21.0,25.6,0.0, - ,0.0, - , - , - , - , - , - , - , - , - , - , - ,66.2,319.8,4
192,,Udgir,20.7,0.0,0.0, - ,0.0, - ,0.0, - , - , - , - ,0.0, - ,0.0,0.0, - ,0.0,0.0, - ,0.0, - , - , - , - , - , - , - , - , - , - , - ,0,0,0
193,,Chakur,19.6,0.0,0.0,0.0,0.0,0.0,0.0, - , - , - , - ,0.0, - , - ,0.0, - ,12.8,0.0, - ,0.0, - , - , - , - , - , - , - , - , - , - , - ,12.8,65.3,1
194,,Renapur,19.6,0.0,0.0,0.0,0.0, - , - , - , - , - , - ,2.8, - , - ,0.0, - ,12.3,0.0, - ,0.0, - , - , - , - , - , - , - , - , - , - , - ,15.1,72.9,2
195,,Davani,20.7,-,-,-,-,-,-,-,-,-,-,0.0, - , - ,1.0, - ,5.7,0.0, - ,0.0, - , - , - , - , - , - , - , - , - , - , - ,6.7,32.4,1
196,,Shirur Anantmal,20.7,-,-,-,-,-,-,-,-,-,-,0.0, - , - ,0.0, - ,18.3,0.0, - ,0.0, - , - , - , - , - , - , - , - , - , - , - ,18.3,88.4,1
197,,Jalkot,20.7,-,-,-,-,-,-,-,-,-,-,0.0, - , - ,0.0, - ,8.0,0.0, - ,0.0, - , - , - , - , - , - , - , - , - , - , - ,8,34.8,1
198,Osmanabad,Osmanabad,23.0,-,-,-,-,-,-,-,-,-,-,52.1, - ,0.0,0.0,0.1,15.1, - ,0.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - ,67.3,448.7,2
199,,Tuljapur,15.0,-,-,-,-,-,-,-,-,-,-,12.0, - ,0.0,0.0,0.0,1.9, - ,0.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - ,13.9,72,1
200,,Paranda,19.3,0.0, - ,0.0, - , - , - , - , - , - ,1.0,0.0, - ,0.0,0.0,6.6,6.2,0.0,6.0,0.0,0.0, - , - , - , - , - , - , - , - ,0.0, - ,19.8,227.6,3
201,,Bhum,8.7,-,-,-,-,-,-,-,-,-,-,2.2, - ,0.0,1.2,13.0,10.2, - ,0.8,0.4,0.0, - , - , - , - , - , - , - , - , - , - ,27.8,319.5,2
