Sr,District,Taluka,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Total RainFall,%RainFall,Rainy Days
81,,Parola,2.9, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
82,,Chalisgaon,2.6, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
83,,Jamner,2.1, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
84,,Pachora,3.2, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
85,,Bhadgaon,2.2, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
86,,Dharangaon,0.7, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
87,,Bodhwada,1.9, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
88,Ahamadnagar,Nagar,16.3,-,-,-,-,-,-,-,-,-,-,0.0,2.6,0.5,3.6,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - , - , - , - ,6.7,69.8,2
89,,Parner,9.6,-,-,-,-,-,-,-,-,-,-,1.5,0.0,0.0,0.5,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - , - , - , - ,2,23,0
90,,Shrigonda,8.7,-,-,-,-,-,-,-,-,-,-,2.3,0.0,0.0,0.3,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - , - , - , - ,2.6,24.8,0
91,,Karjat,10.5,-,-,-,-,-,-,-,-,-,-,3.7,8.7,0.3,0.0,0.0,0.3, - , - , - , - , - , - , - , - , - , - , - , - , - , - ,13,126.2,2
92,,Jamkhed,10.3,-,-,-,-,-,-,-,-,-,-,3.5,12.3,0.0,0.2,3.5,1.0, - , - , - , - , - , - , - , - , - , - , - , - , - , - ,20.5,386.8,3
93,,Shegaon,5.3,-,-,-,-,-,-,-,-,-,-,0.0,19.8,0.0,1.2,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - , - , - , - ,21,287.7,1
94,,Pathardi,7.3,-,-,-,-,-,-,-,-,-,-,0.9,3.2,2.4,1.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - , - , - , - ,7.5,153.1,1
95,,Newasa,4.9,-,-,-,-,-,-,-,-,-,-,0.0,21.9,0.0,0.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - , - , - , - ,21.9,466,1
96,,Rahuri,4.7,-,-,-,-,-,-,-,-,-,-,0.0,11.0,0.0,0.8,0.0,1.4, - , - , - , - , - , - , - , - , - , - , - , - , - , - ,13.2,173.7,1
97,,Sangamner,7.6,-,-,-,-,-,-,-,-,-,-,4.7,0.0,0.0,5.5,0.0,0.4, - , - , - , - , - , - , - , - , - , - , - , - , - , - ,10.6,139.5,2
98,,Akola,7.6,-,-,-,-,-,-,-,-,-,-,0.0,0.0,2.0,19.1,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - , - , - , - ,21.1,527.5,1
99,,Kopargaon,4.0,-,-,-,-,-,-,-,-,-,-,0.0,5.4,0.0,0.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - , - , - , - ,5.4,317.6,1
100,,Shrirampur,1.7,-,-,-,-,-,-,-,-,-,-,0.0,4.5,0.0,0.0,0.0,2.5, - , - , - , - , - , - , - , - , - , - , - , - , - , - ,7,175,1
101,,Rahata,4.0,-,-,-,-,-,-,-,-,-,-,1.2,0.0,0.0,1.4,0.0,0.2, - , - , - , - , - , - , - , - , - , - , - , - , - , - ,2.8,18.8,0
102,Pune,Pune city,14.9,0.0, - , - , - , - , - , - , - , - , - ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
