Sr,District,Taluka,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total RainFall,%RainFall,Rainy Days
56,,Peth,936.4,2.0,1.0,2.0,2.0,15.0,1.0,2.0,4.0,28.0,33.0,45.0,67.0,28.0,45.0,17.0,7.0,3.0,13.0,128.0,51.0,18.0,6.0,8.0,6.0,39.0,1.0,0.0,13.0,10.0,14.0,44.0,653,552.9,23
57,,Niphad,118.1,0.0,0.0,0.0,0.0,0.0,2.0,16.0,13.0,1.0,8.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,111.0,1.0,0.0,1.0,0.0,179,117.3,8
58,,Sinnar,152.6,0.0,0.0,0.0,0.0,0.0,6.0,17.0,8.0,2.0,7.0,16.0,9.0,2.0,0.0,0.0,0.0,0.0,1.0,12.0,8.0,2.0,1.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,102,95,9
59,,Yevla,107.4,0.0,0.0,0.0,0.0,0.0,7.0,22.0,31.0,0.0,2.0,47.0,3.0,0.0,5.0,0.0,0.0,0.0,3.0,7.0,7.0,0.0,0.0,0.0,0.0,4.0,15.0,0.0,7.0,5.0,0.0,0.0,165,113.7,13
60,,Chandwad,145.1,0.0,0.0,0.0,0.0,0.0,8.0,7.0,7.0,2.0,0.0,22.0,21.0,0.0,0.0,0.0,0.0,0.0,14.0,15.0,45.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,3.0,0.0,0.0,1.0,152,16.2,9
61,,Trimbakeshwar,936.4,2.0,6.0,1.0,1.0,0.0,0.0,11.0,12.0,18.0,44.0,63.0,57.0,21.0,30.0,10.0,3.0,3.0,6.0,82.0,51.0,24.0,7.0,2.0,32.0,11.0,2.0,8.0,0.0,7.0,10.0,14.0,538,271.6,23
62,,Devali,198.1,0.0,0.0,0.0,0.0,0.0,2.0,7.0,3.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,45.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,3.0,0.0,0.0,0.0,99,63.1,8
63,Dhule,Dhule,157.0,0.0,0.0,8.0,0.0,2.0,6.0,9.0,7.0,18.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,7.0,0.0,0.0,0.0, - ,0.0,5.0,0.0,3.0,4.0,0.0,0.0,0.0,117,94,10
64,,Sakri,124.5,0.0,0.0,0.0,0.0,0.0,21.0,16.0,28.0,2.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,62.0,4.0,37.0,0.0,0.0,0.0, - ,3.0,0.0,38.0,20.0,6.0,0.0,0.0,0.0,246,107.3,11
65,,Shirpur,229.2,0.0,0.0,0.0,0.0,0.0,3.0,18.0,14.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,36.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,12.0,1.0,3.0,0.0,110,67.1,11
