Sr,District,Taluka,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total RainFall,%RainFall,Rainy Days
49,,Baglan,98.4,1.0,3.0,8.0,4.0,3.0,19.0,74.0,62.0,33.0,30.0,16.0,2.0,3.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,270,165.6,12
50,,Kalwan,163.0,5.0,4.0,17.0,4.0,24.0,21.0,89.0,91.0,78.0,129.0,35.0,4.0,5.0,5.0,0.0,8.0,2.0,2.0,0.0,0.0,3.0, - ,3.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,537,497.2,19
51,,Nandgaon,108.0,1.5,0.0,6.4,3.0,0.0,28.2,77.0,32.0,26.0,26.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,205.6,37.4,7
52,,Surgana,550.2,39.0,31.0,69.0,26.0,48.0,60.0,149.0,160.0,164.0,180.0,84.0,42.0,108.0,16.0,24.0,49.0,19.0,8.0,0.0,6.0,30.0,10.0,19.0,4.0,4.0,10.0,13.0,4.0,3.0,3.0,1.0,1383,1025.2,29
53,,Nasik,134.9,1.1,5.3,9.5,3.0,7.3,36.4,79.0,116.0,72.8,48.8,12.4,1.3,3.0,2.2,3.2,17.0,10.0,10.0,0.0,1.6,2.4,1.2,6.2,0.2,1.3,4.9,2.2,5.0,4.0,2.0,0.3,469.6,257.9,19
54,,Dindori,182.1,3.0,10.0,5.0,4.0,28.0,26.0,53.0,42.0,93.0,100.0,9.0,7.0,5.0,5.0,6.0,6.0,6.0,3.0,1.0,1.0,5.0,2.0,4.0,1.0,0.0,0.0,2.0,1.0,26.0,0.0,0.0,454,42.9,21
55,,Egatpuri,1057.4,35.0,87.0,47.0,35.0,50.0,102.0,273.0,264.0,174.0,112.0,85.0,81.0,40.0,14.0,63.0,126.0,71.0,43.0,15.0,23.0,29.0,13.0,39.0,17.0,49.0,14.0,33.0,33.0,15.0,5.0,3.0,1990,301.5,31
56,,Peth,660.0,23.0,36.0,32.0,15.0,3.0,66.0,174.0,221.0,152.0,292.0,89.0,68.0,58.3,15.0,46.0,37.0,20.0,23.0,2.0,6.0,28.0,20.0,22.0,4.5,3.5,15.0,16.5,12.0,1.0,3.0,0.0,1503.8,1825,28
57,,Niphad,82.4,3.0,4.0,9.0,2.0,3.4,27.0,51.0,72.0,73.3,58.0,5.0,2.0,0.0,3.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,4.0,0.0,5.0,0.0,5.3,2.0,2.0,0.0,0.0,343,328.2,18
58,,Sinnar,104.5,4.4,3.4,9.0,2.0,4.0,20.0,60.0,74.0,45.0,33.4,5.0,2.0,0.0,3.0,0.0,12.0,2.0,11.0,0.0,0.0,0.0,0.0,12.0,5.0,0.0,0.0,0.0,9.0, - ,0.0,0.0,316.2,388.9,16
